family,backend,keep_rate,n,accuracy,agree_with_ref,needle_retained_rate,accuracy_given_needle_retained,n_needle_retained,keep_rate_effective,scorer_ms,target_prompt_ms,net_ttft_ms,speedup_vs_full
niah_distractor,embed,0.1,9,1.0,1.0,1.0,1.0,9,0.1925343494243249,752.1508070122865,5721.221333333333,6473.372140345619,5.013146903570932
niah_distractor,hybrid,0.5,9,1.0,1.0,1.0,1.0,9,0.5710479967727511,757.8879610324899,18813.788,19571.67596103249,1.739707208666739
niah_distractor,hybrid,0.35,9,1.0,1.0,1.0,1.0,9,0.4317373043351366,756.7694908421901,13873.353333333333,14630.122824175523,2.2950590058857583
niah_distractor,hybrid,0.25,9,1.0,1.0,1.0,1.0,9,0.3372808503494641,754.2786347783274,10601.717222222222,11355.99585700055,2.921262930630435
niah_distractor,hybrid,0.15,9,1.0,0.8888888888888888,1.0,1.0,9,0.24103121233834837,753.0384645279911,7332.333666666666,8085.372131194657,4.040538729163078
niah_distractor,hybrid,0.1,9,1.0,1.0,1.0,1.0,9,0.1925343494243249,755.9361319161123,5720.5074444444435,6476.443576360556,5.011382231014207
repoqa,last,0.5,9,0.5555555555555556,0.6666666666666666,0.5555555555555556,1.0,5,0.5389677128358703,1477.498247495128,20071.891555555558,21549.389803050683,1.7955088220686042
repoqa,last,0.35,9,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.0,2,0.4004249511868225,1474.2297398754292,14554.302555555556,16028.532295430985,2.3840825259544522
repoqa,last,0.25,9,0.2222222222222222,0.3333333333333333,0.2222222222222222,1.0,2,0.3086147122544612,1466.208689328697,10979.077333333333,12445.28602266203,3.0378129123660234
repoqa,last,0.15,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,2,0.21593350421640223,1469.215505859918,7470.9226666666655,8940.138172526586,4.170076259763105
repoqa,last,0.1,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,2,0.16979069852174866,1454.7757469117641,5741.830666666666,7196.60641357843,5.141546535165453
repoqa,random,0.5,9,0.6666666666666666,0.7777777777777778,0.6666666666666666,1.0,6,0.6224221678795068,1464.2296956024236,23301.985,24766.214695602423,1.5785134319596903
repoqa,random,0.35,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,1.0,5,0.474792022853573,1468.3225316305954,17334.73322222222,18803.055753852816,2.055406620273275
